an;nation;pêcherie vrai;nbrnav
2019;Belizienne;Pêche hauturière céphalopodes;1
2019;Chinoise;Pêche hauturière céphalopodes;8
2019;GUINEENNE;Pêche hauturière céphalopodes;1
2019;INDONESIENNE;Pêche Côtière céphalopodes;1
2019;INDONESIENNE;Pêche hauturière céphalopodes;1
2019;Mauritanienne;Pêche Côtière céphalopodes;18
2019;Mauritanienne;Pêche hauturière céphalopodes;138
2019;SAMOA;Pêche hauturière céphalopodes;1
2019;SENEGALAISE;Pêche hauturière céphalopodes;1
2019;TURQUE;Pêche hauturière céphalopodes;7
2020;Chinoise;Pêche hauturière céphalopodes;3
2020;GUINEENNE;Pêche hauturière céphalopodes;1
2020;INDONESIENNE;Pêche hauturière céphalopodes;1
2020;Mauritanienne;Pêche Côtière céphalopodes;18
2020;Mauritanienne;Pêche hauturière céphalopodes;155
2020;TURQUE;Pêche hauturière céphalopodes;1
2021;Chinoise;Pêche hauturière céphalopodes;4
2021;Mauritanienne;Pêche hauturière céphalopodes;1
2021;Mauritanienne;Pêche Côtière céphalopodes;12
2021;Mauritanienne;Pêche hauturière céphalopodes;157
2022;Mauritanienne;Pêche Côtière céphalopodes;13
2022;Mauritanienne;Pêche hauturière céphalopodes;152
